data;geracao
2019-11-04;29.527433
2019-11-05;29.45277
2019-11-06;29.477182
2019-11-07;29.907592
2019-11-08;29.852473
2019-11-09;29.975415
2019-11-10;28.519448
2019-11-11;29.897494
2019-11-12;28.380159
2019-11-13;30.005215
2019-11-14;29.37353
2019-11-15;29.205495
2019-11-16;30.041554
2019-11-17;30.064752
2019-11-18;29.987057
2019-11-19;29.469335
2019-11-20;29.094903
2019-11-21;28.994765
2019-11-22;29.214091
2019-11-23;29.388956
2019-11-24;29.387442
2019-11-25;28.941312
2019-11-26;28.848887
2019-11-27;28.630551
2019-11-28;28.75367
2019-11-29;28.868309
2019-11-30;28.883241
2019-12-01;28.411343
2019-12-02;29.491208
2019-12-03;28.878155
2019-12-04;29.9492
2019-12-05;28.824926
2019-12-06;29.290698
2019-12-07;22.444468
2019-12-08;20.681037
2019-12-09;22.021117
2019-12-10;22.062661
2019-12-11;28.566589
2019-12-12;29.02279
2019-12-13;29.033424
2019-12-14;28.919358
2019-12-15;28.990767
2019-12-16;27.975947
2019-12-17;28.940811
2019-12-18;28.57292
2019-12-19;28.783641
2019-12-20;26.901063
2019-12-21;28.511884
2019-12-22;28.871255
2019-12-23;29.392762
2019-12-24;25.795678
2019-12-25;25.219431
2019-12-26;26.355139
2019-12-27;27.250812
2019-12-28;27.311534
2019-12-29;27.449121
2019-12-30;27.470946
2019-12-31;27.326738
2020-01-01;25.691538
2020-01-02;26.296077
2020-01-03;26.911667
2020-01-04;26.380951
2020-01-05;26.217026
2020-01-06;26.62961
2020-01-07;26.988717
2020-01-08;27.308968
2020-01-09;27.235152
2020-01-10;27.216149
2020-01-11;26.449785
2020-01-12;26.708035
2020-01-13;27.012984
2020-01-14;27.039609
2020-01-15;26.861818
2020-01-16;26.995409
2020-01-17;27.480656
2020-01-18;26.302568
2020-01-19;26.05027
2020-01-20;27.119314
2020-01-21;27.640818
2020-01-22;27.109307
2020-01-23;26.887264
2020-01-24;26.395239
2020-01-25;26.164259
2020-01-26;25.165723
2020-01-27;26.723657
2020-01-28;27.037382
2020-01-29;25.666973
2020-01-30;25.667517
2020-01-31;26.958923
2020-02-01;19.995758
2020-02-02;15.30336
2020-02-03;20.440904
2020-02-04;24.599336
2020-02-05;26.059812
2020-02-06;25.944099
2020-02-07;25.936837
2020-02-08;25.571917
2020-02-09;21.199974
2020-02-10;25.914874
2020-02-11;26.057686
2020-02-12;26.402736
2020-02-13;26.330564
2020-02-14;26.425499
2020-02-15;25.937664
2020-02-16;25.134929
2020-02-17;24.458969
2020-02-18;25.18476
2020-02-19;25.474207
2020-02-20;26.157859
2020-02-21;26.197225
2020-02-22;18.480513
2020-02-23;17.40545
2020-02-24;18.010096
2020-02-25;17.532929
2020-02-26;17.908383
2020-02-27;20.861254
2020-02-28;23.273157
2020-02-29;17.830132
2020-03-01;17.782679
2020-03-02;18.16211
2020-03-03;17.924224
2020-03-04;17.627651
2020-03-05;17.79063
2020-03-06;18.156871
2020-03-07;18.056578
2020-03-08;18.06796
2020-03-09;18.152327
2020-03-10;18.09396
2020-03-11;18.803488
2020-03-12;18.527483
2020-03-13;18.710345
2020-03-14;17.554636
2020-03-15;17.355628
2020-03-16;17.575758
2020-03-17;17.472216
2020-03-18;17.615816
2020-03-19;17.440879
2020-03-20;17.37653
2020-03-21;17.262432
2020-03-22;15.452328
2020-03-23;15.664094
2020-03-24;15.799845
2020-03-25;19.485699
2020-03-26;21.933755
2020-03-27;25.41407
2020-03-28;24.628566
2020-03-29;23.862526
2020-03-30;23.376623
2020-03-31;21.820096
2020-04-01;22.942504
2020-04-02;24.338998
2020-04-03;24.712778
2020-04-04;24.153984
2020-04-05;24.201555
2020-04-06;25.027803
2020-04-07;24.793963
2020-04-08;23.675059
2020-04-09;22.098423
2020-04-10;22.3749
2020-04-11;21.923092
2020-04-12;21.380922
2020-04-13;21.847458
2020-04-14;22.219905
2020-04-15;23.262554
2020-04-16;23.387102
2020-04-17;22.90951
2020-04-18;20.875017
2020-04-19;20.631125
2020-04-20;21.693767
2020-04-21;22.135949
2020-04-22;23.970508
2020-04-23;23.377874
2020-04-24;24.0367
2020-04-25;20.77872
2020-04-26;20.060045
2020-04-27;23.230014
2020-04-28;23.393912
2020-04-29;24.282907
2020-04-30;24.856075
2020-05-01;23.859332
2020-05-02;22.083369
2020-05-03;21.171547
2020-05-04;23.873772
2020-05-05;24.316886
2020-05-06;22.071015
2020-05-07;22.322868
2020-05-08;22.752858
2020-05-09;23.155953
2020-05-10;22.10882
2020-05-11;23.793819
2020-05-12;25.214445
2020-05-13;24.053607
2020-05-14;22.356632
2020-05-15;23.673013
2020-05-16;23.544347
2020-05-17;22.63149
2020-05-18;23.948415
2020-05-19;22.822269
2020-05-20;24.098431
2020-05-21;25.518881
2020-05-22;25.640273
2020-05-23;23.646607
2020-05-24;21.021595
2020-05-25;23.486477
2020-05-26;24.903829
2020-05-27;25.68544
2020-05-28;26.041785
2020-05-29;26.061262
2020-05-30;23.758979
2020-05-31;23.280852
2020-06-01;23.19376
2020-06-02;24.100017
2020-06-03;24.916463
2020-06-04;23.390819
2020-06-05;20.949828
2020-06-06;24.175185
2020-06-07;21.367902
2020-06-08;24.702475
2020-06-09;25.883483
2020-06-10;26.118932
2020-06-11;24.541331
2020-06-12;23.185145
2020-06-13;23.797067
2020-06-14;23.385772
2020-06-15;26.080186
2020-06-16;26.51404
2020-06-17;24.846828
2020-06-18;25.462266
2020-06-19;26.497848
2020-06-20;25.522373
2020-06-21;24.53174
2020-06-22;26.6837
2020-06-23;26.33776
2020-06-24;26.302092
2020-06-25;26.554947
