;ds;trend;yhat_lower;yhat_upper;trend_lower;trend_upper;All Souls' Day;All Souls' Day_lower;All Souls' Day_upper;Christmas;Christmas_lower;Christmas_upper;Independence Day;Independence Day_lower;Independence Day_upper;New Year's Day;New Year's Day_lower;New Year's Day_upper;Our Lady of the Apparition;Our Lady of the Apparition_lower;Our Lady of the Apparition_upper;Republic Proclamation Day;Republic Proclamation Day_lower;Republic Proclamation Day_upper;Tiradentes;Tiradentes_lower;Tiradentes_upper;Worker's Day;Worker's Day_lower;Worker's Day_upper;additive_terms;additive_terms_lower;additive_terms_upper;daily;daily_lower;daily_upper;holidays;holidays_lower;holidays_upper;weekly;weekly_lower;weekly_upper;yearly;yearly_lower;yearly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat
918;2020-07-07;23.339219176949282;20.25394636566942;28.376822258130712;23.339219176949282;23.339219176949282;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.052044212358528;1.052044212358528;1.052044212358528;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.13245655667508738;0.13245655667508738;0.13245655667508738;-0.16821690364999614;-0.16821690364999614;-0.16821690364999614;0.0;0.0;0.0;24.39126338930781
919;2020-07-08;23.34461016171534;20.410689409050843;28.33450241019353;23.34461016171534;23.34461016171534;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0082554119719964;1.0082554119719964;1.0082554119719964;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.20889560601729693;0.20889560601729693;0.20889560601729693;-0.28844475337873726;-0.28844475337873726;-0.28844475337873726;0.0;0.0;0.0;24.35286557368734
920;2020-07-09;23.350001146481407;20.45246127080847;28.26953482725809;23.350001146481407;23.350001146481407;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9972270995758904;0.9972270995758904;0.9972270995758904;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.3210488694238559;0.3210488694238559;0.3210488694238559;-0.41162632918140213;-0.41162632918140213;-0.41162632918140213;0.0;0.0;0.0;24.3472282460573
921;2020-07-10;23.355392131247473;20.291225369552205;28.57032077254356;23.355392131247473;23.355392131247473;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0940554389954136;1.0940554389954136;1.0940554389954136;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.5407701139324583;0.5407701139324583;0.5407701139324583;-0.5345192342704812;-0.5345192342704812;-0.5345192342704812;0.0;0.0;0.0;24.44944757024289
922;2020-07-11;23.360783116013533;19.44791988708138;27.643551030598548;23.360783116013533;23.360783116013533;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2670978377661548;0.2670978377661548;0.2670978377661548;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;-0.1668986050461119;-0.1668986050461119;-0.1668986050461119;-0.6538081165211698;-0.6538081165211698;-0.6538081165211698;0.0;0.0;0.0;23.627880953779687
923;2020-07-12;23.3661741007796;18.469793919825523;26.60546729487949;23.3661741007796;23.3661741007796;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.7381536555300844;-0.7381536555300844;-0.7381536555300844;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;-1.0597895249562321;-1.0597895249562321;-1.0597895249562321;-0.7661686899072887;-0.7661686899072887;-0.7661686899072887;0.0;0.0;0.0;22.628020445249515
924;2020-07-13;23.37156508554566;19.892339542370834;27.707766012451852;23.37156508554566;23.37156508554566;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24298848550001295;0.24298848550001295;0.24298848550001295;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.023516983948357606;0.023516983948357606;0.023516983948357606;-0.8683330577817814;-0.8683330577817814;-0.8683330577817814;0.0;0.0;0.0;23.614553571045676
925;2020-07-14;23.376956070311724;19.66439458669078;27.678303091815422;23.376956070311724;23.376956070311724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2631060763197141;0.2631060763197141;0.2631060763197141;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.13245655667520637;0.13245655667520637;0.13245655667520637;-0.9571550396889288;-0.9571550396889288;-0.9571550396889288;0.0;0.0;0.0;23.64006214663144
926;2020-07-15;23.38234705507779;19.80444060189488;27.7058401037796;23.38234705507779;23.38234705507779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.267025981959587;0.267025981959587;0.267025981959587;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.20889560601695492;0.20889560601695492;0.20889560601695492;-1.0296741833908043;-1.0296741833908043;-1.0296741833908043;0.0;0.0;0.0;23.64937303703738
927;2020-07-16;23.387738039843853;19.592865286655467;27.620757232078297;23.387738039843853;23.387738039843853;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32567627779954306;0.32567627779954306;0.32567627779954306;1.0878045593334367;1.0878045593334367;1.0878045593334367;0.0;0.0;0.0;0.3210488694231631;0.3210488694231631;0.3210488694231631;-1.0831771509570567;-1.0831771509570567;-1.0831771509570567;0.0;0.0;0.0;23.713414317643398
