;ds;y
668;2019-10-31;28.790738
669;2019-11-01;29.336976
670;2019-11-02;29.447331
671;2019-11-03;28.082475
672;2019-11-04;29.527433
673;2019-11-05;29.45277
674;2019-11-06;29.477182
675;2019-11-07;29.907592
676;2019-11-08;29.852473
677;2019-11-09;29.975415
678;2019-11-10;28.519448
679;2019-11-11;29.897494
680;2019-11-12;28.380159
681;2019-11-13;30.005215
682;2019-11-14;29.37353
683;2019-11-15;29.205495
684;2019-11-16;30.041554
685;2019-11-17;30.064752
686;2019-11-18;29.987057
687;2019-11-19;29.469335
688;2019-11-20;29.094903
689;2019-11-21;28.994765
690;2019-11-22;29.214091
691;2019-11-23;29.388956
692;2019-11-24;29.387442
693;2019-11-25;28.941312
694;2019-11-26;28.848887
695;2019-11-27;28.630551
696;2019-11-28;28.75367
697;2019-11-29;28.868309
698;2019-11-30;28.883241
699;2019-12-01;28.411343
700;2019-12-02;29.491208
701;2019-12-03;28.878155
702;2019-12-04;29.9492
703;2019-12-05;28.824926
704;2019-12-06;29.290698
705;2019-12-07;22.444468
706;2019-12-08;20.681037
707;2019-12-09;22.021117
708;2019-12-10;22.062661
709;2019-12-11;28.566589
710;2019-12-12;29.02279
711;2019-12-13;29.033424
712;2019-12-14;28.919358
713;2019-12-15;28.990767
714;2019-12-16;27.975947
715;2019-12-17;28.940811
716;2019-12-18;28.57292
717;2019-12-19;28.783641
718;2019-12-20;26.901063
719;2019-12-21;28.511884
720;2019-12-22;28.871255
721;2019-12-23;29.392762
722;2019-12-24;25.795678
723;2019-12-25;25.219431
724;2019-12-26;26.355139
725;2019-12-27;27.250812
726;2019-12-28;27.311534
727;2019-12-29;27.449121
728;2019-12-30;27.470946
729;2019-12-31;27.326738
730;2020-01-01;25.691538
731;2020-01-02;26.296077
732;2020-01-03;26.911667
733;2020-01-04;26.380951
734;2020-01-05;26.217026
735;2020-01-06;26.62961
736;2020-01-07;26.988717
737;2020-01-08;27.308968
738;2020-01-09;27.235152
739;2020-01-10;27.216149
740;2020-01-11;26.449785
741;2020-01-12;26.708035
742;2020-01-13;27.012984
743;2020-01-14;27.039609
744;2020-01-15;26.861818
745;2020-01-16;26.995409
746;2020-01-17;27.480656
747;2020-01-18;26.302568
748;2020-01-19;26.05027
749;2020-01-20;27.119314
750;2020-01-21;27.640818
751;2020-01-22;27.109307
752;2020-01-23;26.887264
753;2020-01-24;26.395239
754;2020-01-25;26.164259
755;2020-01-26;25.165723
756;2020-01-27;26.723657
757;2020-01-28;27.037382
758;2020-01-29;25.666973
759;2020-01-30;25.667517
760;2020-01-31;26.958923
761;2020-02-01;19.995758
762;2020-02-02;15.30336
763;2020-02-03;20.440904
764;2020-02-04;24.599336
765;2020-02-05;26.059812
766;2020-02-06;25.944099
767;2020-02-07;25.936837
768;2020-02-08;25.571917
769;2020-02-09;21.199974
770;2020-02-10;25.914874
771;2020-02-11;26.057686
772;2020-02-12;26.402736
773;2020-02-13;26.330564
774;2020-02-14;26.425499
775;2020-02-15;25.937664
776;2020-02-16;25.134929
777;2020-02-17;24.458969
778;2020-02-18;25.18476
779;2020-02-19;25.474207
780;2020-02-20;26.157859
781;2020-02-21;26.197225
782;2020-02-22;18.480513
783;2020-02-23;17.40545
784;2020-02-24;18.010096
785;2020-02-25;17.532929
786;2020-02-26;17.908383
787;2020-02-27;20.861254
788;2020-02-28;23.273157
789;2020-02-29;17.830132
790;2020-03-01;17.782679
791;2020-03-02;18.16211
792;2020-03-03;17.924224
793;2020-03-04;17.627651
794;2020-03-05;17.79063
795;2020-03-06;18.156871
796;2020-03-07;18.056578
797;2020-03-08;18.06796
798;2020-03-09;18.152327
799;2020-03-10;18.09396
800;2020-03-11;18.803488
801;2020-03-12;18.527483
802;2020-03-13;18.710345
803;2020-03-14;17.554636
804;2020-03-15;17.355628
805;2020-03-16;17.575758
806;2020-03-17;17.472216
807;2020-03-18;17.615816
808;2020-03-19;17.440879
809;2020-03-20;17.37653
810;2020-03-21;17.262432
811;2020-03-22;15.452328
812;2020-03-23;15.664094
813;2020-03-24;15.799845
814;2020-03-25;19.485699
815;2020-03-26;21.933755
816;2020-03-27;25.41407
817;2020-03-28;24.628566
818;2020-03-29;23.862526
819;2020-03-30;23.376623
820;2020-03-31;21.820096
821;2020-04-01;22.942504
822;2020-04-02;24.338998
823;2020-04-03;24.712778
824;2020-04-04;24.153984
825;2020-04-05;24.201555
826;2020-04-06;25.027803
827;2020-04-07;24.793963
828;2020-04-08;23.675059
829;2020-04-09;22.098423
830;2020-04-10;22.3749
831;2020-04-11;21.923092
832;2020-04-12;21.380922
833;2020-04-13;21.847458
834;2020-04-14;22.219905
835;2020-04-15;23.262554
836;2020-04-16;23.387102
837;2020-04-17;22.90951
838;2020-04-18;20.875017
839;2020-04-19;20.631125
840;2020-04-20;21.693767
841;2020-04-21;22.135949
842;2020-04-22;23.970508
843;2020-04-23;23.377874
844;2020-04-24;24.0367
845;2020-04-25;20.77872
846;2020-04-26;20.060045
847;2020-04-27;23.230014
848;2020-04-28;23.393912
849;2020-04-29;24.282907
850;2020-04-30;24.856075
851;2020-05-01;23.859332
852;2020-05-02;22.083369
853;2020-05-03;21.171547
854;2020-05-04;23.873772
855;2020-05-05;24.316886
856;2020-05-06;22.071015
857;2020-05-07;22.322868
858;2020-05-08;22.752858
859;2020-05-09;23.155953
860;2020-05-10;22.10882
861;2020-05-11;23.793819
862;2020-05-12;25.214445
863;2020-05-13;24.053607
864;2020-05-14;22.356632
865;2020-05-15;23.673013
866;2020-05-16;23.544347
867;2020-05-17;22.63149
868;2020-05-18;23.948415
869;2020-05-19;22.822269
870;2020-05-20;24.098431
871;2020-05-21;25.518881
872;2020-05-22;25.640273
873;2020-05-23;23.646607
874;2020-05-24;21.021595
875;2020-05-25;23.486477
876;2020-05-26;24.903829
877;2020-05-27;25.68544
878;2020-05-28;26.041785
879;2020-05-29;26.061262
880;2020-05-30;23.758979
881;2020-05-31;23.280852
882;2020-06-01;23.19376
883;2020-06-02;24.100017
884;2020-06-03;24.916463
885;2020-06-04;23.390819
886;2020-06-05;20.949828
887;2020-06-06;24.175185
888;2020-06-07;21.367902
889;2020-06-08;24.702475
890;2020-06-09;25.883483
891;2020-06-10;26.118932
892;2020-06-11;24.541331
893;2020-06-12;23.185145
894;2020-06-13;23.797067
895;2020-06-14;23.385772
896;2020-06-15;26.080186
897;2020-06-16;26.51404
898;2020-06-17;24.846828
899;2020-06-18;25.462266
900;2020-06-19;26.497848
901;2020-06-20;25.522373
902;2020-06-21;24.53174
903;2020-06-22;26.6837
904;2020-06-23;26.33776
905;2020-06-24;26.302092
906;2020-06-25;26.554947
907;2020-06-26;26.759859
908;2020-06-27;26.241581
909;2020-06-28;24.177759
910;2020-06-29;26.382162
911;2020-06-30;25.750081
912;2020-07-01;26.29546
913;2020-07-02;26.626541
914;2020-07-03;26.347562
915;2020-07-04;25.377572
916;2020-07-05;23.365304
917;2020-07-06;25.85443
918;2020-07-07;26.530963
919;2020-07-08;20.84938
920;2020-07-09;20.946413
921;2020-07-10;20.916151
922;2020-07-11;21.132521
923;2020-07-12;21.254198
924;2020-07-13;21.119433
925;2020-07-14;20.828454
926;2020-07-15;20.146451
927;2020-07-16;20.577975
928;2020-07-17;23.021564
929;2020-07-18;23.009681
930;2020-07-19;21.554329
931;2020-07-20;22.484991
932;2020-07-21;20.560874
933;2020-07-22;18.929914
934;2020-07-23;18.662403
935;2020-07-24;18.287857
936;2020-07-25;18.334294
937;2020-07-26;18.676957
938;2020-07-27;18.628871
939;2020-07-28;19.830649
